revenue,net_profit,debt_to_equity,fraud_score,avg_balance,expected_decision,profit_margin,debt_ratio,balance_to_revenue,profit_to_balance,fraud_risk_level,revenue_fraud_interaction,profit_debt_interaction,log_revenue,log_avg_balance
1000000,100000,0.5,20,500000,APPROVE,0.1,0.5,0.5,0.2,0,20.0,50000.0,13.815511557963774,13.122365377402328
500000,-50000,2.0,80,100000,REJECT,-0.1,2.0,0.2,-0.5,2,40.0,-100000.0,13.122365377402328,11.51293546492023
2000000,200000,0.3,10,800000,APPROVE,0.1,0.3,0.4,0.25,0,20.0,60000.0,14.508658238524095,13.592368256649284
300000,30000,1.5,60,200000,REJECT,0.1,1.5,0.6666666666666666,0.15,1,18.0,45000.0,12.611541086966115,12.206077645517674
1500000,150000,0.8,30,600000,APPROVE,0.1,0.8,0.4,0.25,0,45.0,120000.0,14.220976332738882,13.304686600863562
400000,-20000,2.5,90,50000,REJECT,-0.05,2.5,0.125,-0.4,2,36.0,-50000.0,12.899222326086994,10.819798284210286
2500000,250000,0.2,5,1000000,APPROVE,0.1,0.2,0.4,0.25,0,12.5,50000.0,14.731801689838349,13.815511557963774
600000,60000,1.2,40,300000,APPROVE,0.1,1.2,0.5,0.2,1,24.0,72000.0,13.304686600863562,12.611541086966115
350000,-10000,3.0,95,80000,REJECT,-0.02857142857142857,3.0,0.22857142857142856,-0.125,2,33.25,-30000.0,12.765691290604371,11.289794413577894
1800000,180000,0.6,25,700000,APPROVE,0.1,0.6,0.3888888888888889,0.2571428571428571,0,45.0,108000.0,14.403297778421795,13.45883704259595
700000,70000,1.8,70,150000,REJECT,0.1,1.8,0.21428571428571427,0.4666666666666667,2,49.0,126000.0,13.45883704259595,11.918397239722838
1200000,120000,0.9,35,550000,APPROVE,0.1,0.9,0.4583333333333333,0.21818181818181817,1,42.0,108000.0,13.997832948091215,13.217675375388819
450000,-30000,2.2,85,120000,REJECT,-0.06666666666666667,2.2,0.26666666666666666,-0.25,2,38.25,-66000.0,13.017005083966255,11.695255355062795
2800000,280000,0.1,8,1200000,APPROVE,0.1,0.1,0.42857142857142855,0.23333333333333334,0,22.4,28000.0,14.845130332288226,13.997832948091215
550000,55000,1.0,45,400000,APPROVE,0.1,1.0,0.7272727272727273,0.1375,1,24.75,55000.0,13.217675375388819,12.899222326086994
320000,-15000,2.8,88,90000,REJECT,-0.046875,2.8,0.28125,-0.16666666666666666,2,28.16,-42000.0,12.676079399771027,11.407576060361786
2200000,220000,0.4,15,900000,APPROVE,0.1,0.4,0.4090909090909091,0.24444444444444444,0,33.0,88000.0,14.603968372873895,13.710151153416941
650000,65000,1.6,55,250000,APPROVE,0.1,1.6,0.38461538461538464,0.26,1,35.75,104000.0,13.384729180332174,12.429220196836383
380000,-25000,2.3,92,110000,REJECT,-0.06578947368421052,2.3,0.2894736842105263,-0.22727272727272727,2,34.96,-57499.99999999999,12.847929163278053,11.608244735642321
1600000,160000,0.7,28,650000,APPROVE,0.1,0.7,0.40625,0.24615384615384617,0,44.8,112000.0,14.285514812209815,13.384729180332174
